Category,Description,link,Location,lat,lon
Mercury,,https://briwildlife.org/hgcenter/crmmn/,Antigua and Barbuda,17.0608,-61.7964
Loon,,https://briwildlife.org/waterbird/,Casco Bay,43.6956,-69.9949
Mercury,,https://briwildlife.org/hgcenter/,Colombia,4.5709,-74.2973
Mercury,,https://briwildlife.org/hgcenter/,Cook Islands,-21.2367,-159.7777
Wind,,https://briwildlife.org/crowe/,Delaware,38.9108,-75.5277
Mercury,,https://briwildlife.org/hgcenter/,Dominica,15.415,-61.371
Mercury,,https://briwildlife.org/toxicology-lab/,Ecudaor,-1.8312,-78.1834
Cosmetics,,https://briwildlife.org/cosmetic-project/,Gabon,-0.8037,11.6094
Mercury,,https://briwildlife.org/hgcenter/,Grenada,12.2628,-61.6042
Mercury,,https://briwildlife.org/hgcenter/,Guyana,4.8604,-58.9302
Mercury,,https://briwildlife.org/hgcenter/,Indonesia,-0.7893,113.9213
Cosmetics,,https://briwildlife.org/cosmetic-project/,Jamaica,18.1096,-77.2975
Climate,,https://briwildlife.org/center-ecology/climate-change-program/,Kenya,-0.0236,37.9062
Mercury,,https://briwildlife.org/hgcenter/,Kiribati,-3.3704,-168.734
Wind,,https://briwildlife.org/crowe/,Maryland,39.0458,-76.6413
Loon,,https://briwildlife.org/Loon-program/,Massachusetts,42.4072,-71.3824
Mercury,,https://briwildlife.org/hgcenter/,Micronesia,7.4256,150.5508
Loon,,https://briwildlife.org/Loon-program/,Montana,46.8797,-110.3626
Loon,,https://briwildlife.org/Loon-program/,New Hampshire,43.1939,-71.5724
Wind,,https://briwildlife.org/crowe/,New Jersey,40.0583,-74.4057
Loon,,https://briwildlife.org/Loon-program/,New York,40.7128,-74.006
Mercury,,https://briwildlife.org/hgcenter/,Niue,-19.0544,-169.8672
Mercury,,https://briwildlife.org/hgcenter/,Peru,-9.19,-75.0152
Loon,,https://briwildlife.org/Loon-program/,Rangeley,44.9657,-70.6427
Wind,,https://briwildlife.org/crowe/,Rhode Island,41.5801,-71.4774
Mercury,,https://briwildlife.org/hgcenter/,Saint Lucia,13.9094,-60.9789
Mercury,,https://briwildlife.org/hgcenter/,Saint Vincent and the Grenadines,12.9843,-61.2872
Climate,,https://briwildlife.org/center-ecology/,South Dakota,43.9695,-99.9018
Cosmetics,,https://briwildlife.org/cosmetic-project/,Sri Lanka,7.8731,80.7718
Mercury,,https://briwildlife.org/hgcenter/,Suriname,3.9193,-56.0278
Climate,,https://briwildlife.org/center-ecology/climate-change-program/,Tanzania,-6.369,34.8888
Mercury,,https://briwildlife.org/hgcenter/crmmn/,Trinidad and Tobago,10.6918,-61.2225
Mercury,,https://briwildlife.org/hgcenter/,Tuvalu,-7.1095,177.6493
Mercury,,https://briwildlife.org/hgcenter/,Vanuatu,-15.3767,166.9592
Mammal,,https://briwildlife.org/mammal-program/,Vermont,44.5588,-72.5778
Loon,,https://briwildlife.org/Loon-program/,Washington,43.076,-107.2903
Loon,,https://briwildlife.org/Loon-program/,Wyoming,47.7511,-120.7401
